,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,7272964526,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
1,1,7305286274,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
2,2,7246571750,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
3,3,7296701176,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
4,4,7274619510,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
5,5,7307848834,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
6,6,7304366488,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
7,7,7357106638,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
8,8,7187227138,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
9,9,7272059166,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
10,0,1160970492562,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
11,1,1166596335900,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
12,2,1114909450740,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
13,3,1129943417096,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
14,4,1152458232376,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
15,5,1178448104906,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
16,6,1074729232750,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
17,7,1097623636608,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
18,8,1183075978982,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
19,9,1172893842294,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
20,0,42052160098,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
21,1,42484423792,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
22,2,41926896618,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
23,3,42318459326,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
24,4,41615992270,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
25,5,41847238156,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
26,6,41843676096,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
27,7,42295358166,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
28,8,42635618904,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
29,9,41924579176,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
30,0,15111878092,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
31,1,15025531122,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
32,2,15170301704,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
33,3,14998755516,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
34,4,14920971642,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
35,5,14947143020,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
36,6,15182470356,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
37,7,15105629296,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
38,8,15110106366,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
39,9,14961455264,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
40,0,4049208640052,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
41,1,3914057089176,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
42,2,4022425921130,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
43,3,4173642274058,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
44,4,3857278115242,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
45,5,4050568249680,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
46,6,4018367146844,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
47,7,3974062890960,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
48,8,3972305812672,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
49,9,3928375315232,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
50,0,55799164734,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
51,1,55695196678,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
52,2,54976813126,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
53,3,55572121454,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
54,4,55193107498,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
55,5,54607989272,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
56,6,54575495794,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
57,7,54684530222,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
58,8,54584113784,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
59,9,55606471210,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
60,0,58725506830,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
61,1,59327544572,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
62,2,58599429214,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
63,3,58507844652,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
64,4,57937325160,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
65,5,59346709702,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
66,6,58371023064,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
67,7,58647669980,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
68,8,60303278350,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
69,9,58259041576,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
70,0,8161509690,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
71,1,8550684994,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
72,2,9151982760,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
73,3,8717425852,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
74,4,8638671650,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
75,5,8192463842,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
76,6,8403351028,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
77,7,7790889502,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
78,8,7768094252,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
79,9,8323303468,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
80,0,42146188,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
81,1,42853336,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
82,2,42120376,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
83,3,42328134,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
84,4,42656668,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
85,5,43353438,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
86,6,42587698,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
87,7,42270702,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
88,8,42232940,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
89,9,49115954,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
90,0,644388,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
91,1,630136,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
92,2,640852,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
93,3,657520,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
94,4,1367902,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
95,5,601882,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
96,6,694296,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
97,7,622528,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
98,8,1470306,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
99,9,592460,0,reed-solomon,10,10,1.3,1.4,2,3,4,1,2.0
100,0,196997496,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
101,1,196088846,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
102,2,200011220,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
103,3,192821126,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
104,4,198137540,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
105,5,199737138,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
106,6,200887966,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
107,7,195324704,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
108,8,195339274,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
109,9,201759816,0,random binning,5005,10,1.3,1.4,1,3,1,1,2.0
110,0,64741662030,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
111,1,64801269160,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
112,2,65682443864,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
113,3,66286262002,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
114,4,65529043470,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
115,5,66203722344,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
116,6,66130666598,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
117,7,66147531518,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
118,8,65263623922,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
119,9,65068084292,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
120,0,385018,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
121,1,456082,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
122,2,763998,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
123,3,1233190,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
124,4,878844,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
125,5,409008,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
126,6,1251448,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
127,7,374318,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
128,8,382804,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
129,9,433438,0,naive,10,10,1.3,1.4,2,3,4,1,2.0
130,0,5954204144,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
131,1,5895845070,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
132,2,5927399638,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
133,3,5807914824,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
134,4,5857607650,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
135,5,5895130704,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
136,6,5875327708,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
137,7,5860257052,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
138,8,5924598640,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
139,9,5830153240,0,random binning,10000,107,1.3,1.4,1,3,1,1,2.0
140,0,804357898,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
141,1,798327106,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
142,2,794516910,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
143,3,786139232,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
144,4,788747626,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
145,5,804508270,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
146,6,788372708,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
147,7,796630780,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
148,8,802151302,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
149,9,801928664,0,reed-solomon,2508,10,1.3,1.4,5,3,25,1,2.0
150,0,21581410304,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
151,1,21504849326,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
152,2,20791598376,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
153,3,21379562896,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
154,4,21520705872,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
155,5,21076895380,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
156,6,21595584300,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
157,7,21874144620,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
158,8,21675666222,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
159,9,21291774670,0,reed-solomon,7502,107,1.3,1.4,5,3,25,1,2.0
